Network DDoS Simulation Results
Timestamp,2025-10-23_13-30-30
Simulation Duration,900s
Number of Servers,8
Processing Power,250 req/sec
Queue Size,400
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,1593651
Total Dropped - Queue Full,40
Total Dropped - Timeout,2620
Total Dropped - High Load,190969
Total Dropped - No Server,12240
Overall Success Rate,88.56%
Overall Drop Rate,11.44%

Probability Analysis
Bandwidth Exhaustion,60.00%
Resource Depletion,16.39%
Successful Attack,2.23%
Total Processing Capacity,2000 req/sec
Capacity Threshold,1600 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,222770,198354,89.04%,100.00%,220.4 req/sec,5,0.00%,319,0.14%,24092,10.81%,24416,10.96%,100.0%,98.9%,87.2%,83.4%,349,333.7,0.000,0.098,1.8s,0.2%
NetworkServer1,223192,198789,89.07%,100.00%,220.9 req/sec,5,0.00%,311,0.14%,24087,10.79%,24403,10.93%,100.0%,98.9%,88.0%,83.9%,352,335.5,0.000,0.096,3.6s,0.4%
NetworkServer2,223858,199442,89.09%,100.00%,221.6 req/sec,6,0.00%,342,0.15%,24068,10.75%,24416,10.91%,100.0%,98.3%,87.2%,82.8%,349,331.2,0.000,0.104,3.7s,0.4%
NetworkServer3,224164,199903,89.18%,100.00%,222.1 req/sec,4,0.00%,339,0.15%,23918,10.67%,24261,10.82%,100.0%,99.4%,87.2%,83.5%,349,333.9,0.000,0.096,3.3s,0.4%
NetworkServer4,223715,199720,89.27%,100.00%,221.9 req/sec,5,0.00%,327,0.15%,23663,10.58%,23995,10.73%,100.0%,99.4%,87.2%,83.6%,349,334.2,0.000,0.095,3.5s,0.4%
NetworkServer5,222895,198781,89.18%,100.00%,220.9 req/sec,5,0.00%,317,0.14%,23792,10.67%,24114,10.82%,100.0%,98.3%,87.0%,83.0%,348,331.9,0.000,0.103,3.8s,0.4%
NetworkServer6,223280,199596,89.39%,100.00%,221.8 req/sec,5,0.00%,337,0.15%,23342,10.45%,23684,10.61%,100.0%,98.9%,88.2%,83.5%,353,334.1,0.000,0.098,3.2s,0.4%
NetworkServer7,223406,199066,89.11%,100.00%,221.2 req/sec,5,0.00%,328,0.15%,24007,10.75%,24340,10.89%,100.0%,99.4%,87.8%,82.9%,351,331.7,0.000,0.099,2.0s,0.2%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.00%,0.00%,0.000
5,9520,4572,13,0,143,3519,0.48025210084033615,0.3860294117647059,3600,1603,1313,0.4452777777777778,0.3647222222222222,5920,2969,2206,0.5015202702702702,0.37263513513513513,0.592,0.4264704444444445,0.4761437908496732,75.00%,35.09%,0.489
10,19600,11193,23,0,336,6754,0.5710714285714286,0.3629081632653061,7600,4096,3134,0.5389473684210526,0.4123684210526316,12000,7097,3620,0.5914166666666667,0.3016666666666667,0.608,0.41586947368421057,0.36594427244582045,87.50%,34.97%,0.440
15,29600,17949,35,0,603,9737,0.6063851351351351,0.35050675675675674,11600,6420,4197,0.553448275862069,0.3618103448275862,18000,11529,5540,0.6405,0.30777777777777776,0.6,0.3237499999999999,0.34888438133874233,62.50%,35.97%,0.534
20,39600,24192,40,0,806,12240,0.610909090909091,0.33045454545454545,15600,9403,4964,0.6027564102564102,0.3182051282051282,24000,14789,7276,0.6162083333333334,0.30316666666666664,0.6,0.3575192307692308,0.2908748114630467,87.50%,67.09%,0.247
25,49600,33283,40,0,1218,12240,0.6710282258064516,0.27213709677419357,19600,13079,4964,0.6672959183673469,0.25326530612244896,30000,20204,7276,0.6734666666666667,0.24253333333333332,0.6,0.3227229591836735,0.21494597839135654,100.00%,81.84%,0.109
30,59600,42138,40,0,2230,12240,0.707013422818792,0.24345637583892618,23600,16460,4964,0.6974576271186441,0.21033898305084744,36000,25678,7276,0.7132777777777778,0.2021111111111111,0.6,0.2934661016949152,0.17946161515453632,100.00%,86.00%,0.084
35,69520,51028,40,0,3315,12240,0.7340046029919448,0.22432393555811278,27600,19891,4964,0.7206884057971015,0.1798550724637681,41920,31137,7276,0.7427719465648855,0.17356870229007634,0.592,0.2707646594202898,0.15213128729752765,100.00%,84.28%,0.094
40,79520,59976,40,0,4390,12240,0.754225352112676,0.2096327967806841,31600,23371,4964,0.7395886075949367,0.1570886075949367,47920,36605,7276,0.7638772954924875,0.1518363939899833,0.6,0.2525990506329114,0.12989575577066265,100.00%,83.56%,0.099
45,89520,68916,40,0,5448,12240,0.7698391420911528,0.19803395889186773,35600,26845,4964,0.7540730337078652,0.139438202247191,53920,42071,7276,0.7802485163204748,0.1349406528189911,0.6,0.23854915730337078,0.11285525446133508,100.00%,83.62%,0.098
50,99520,77932,40,0,6487,12240,0.7830787781350482,0.1885751607717042,39600,30410,4964,0.7679292929292929,0.12535353535353536,59920,47522,7276,0.793090787716956,0.12142857142857143,0.6,0.22510858585858587,0.09655377302436126,100.00%,81.91%,0.109
55,109520,86854,40,0,7523,12240,0.7930423666910154,0.1808162892622352,43600,33846,4964,0.7762844036697247,0.11385321100917431,65920,53008,7276,0.804126213592233,0.11037621359223301,0.6,0.217004128440367,0.08672423097679441,100.00%,83.22%,0.101
60,119520,95790,40,0,8598,12240,0.8014558232931727,0.17468206157965194,47600,37309,4964,0.7838025210084033,0.10428571428571429,71920,58481,7276,0.8131395995550612,0.10116796440489433,0.6,0.2097115546218488,0.07787938704893727,100.00%,82.88%,0.103
