Network DDoS Simulation Results
Timestamp,2025-10-23_17-35-54
Simulation Duration,900s
Number of Servers,12
Processing Power,300 req/sec
Queue Size,600
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,1799321
Total Dropped - Queue Full,5
Total Dropped - Timeout,60
Total Dropped - High Load,134
Total Dropped - No Server,0
Overall Success Rate,99.99%
Overall Drop Rate,0.01%

Probability Analysis
Bandwidth Exhaustion,33.33%
Resource Depletion,0.25%
Successful Attack,0.00%
Total Processing Capacity,3600 req/sec
Capacity Threshold,2880 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,290780,290759,99.99%,100.00%,323.1 req/sec,1,0.00%,0,0.00%,20,0.01%,21,0.01%,100.0%,83.1%,44.8%,3.1%,269,18.6,0.000,0.643,2.8s,0.3%
NetworkServer1,299526,299483,99.99%,100.00%,332.8 req/sec,1,0.00%,0,0.00%,42,0.01%,43,0.01%,100.0%,76.7%,41.8%,2.5%,251,15.1,0.000,0.672,1.7s,0.2%
NetworkServer2,303936,303908,99.99%,100.00%,337.7 req/sec,1,0.00%,10,0.00%,17,0.01%,28,0.01%,100.0%,76.5%,22.3%,2.7%,134,16.1,0.000,0.672,2.1s,0.2%
NetworkServer3,298260,298250,100.00%,100.00%,331.4 req/sec,1,0.00%,0,0.00%,9,0.00%,10,0.00%,100.0%,81.3%,36.8%,2.8%,221,16.9,0.000,0.652,1.8s,0.2%
NetworkServer4,301985,301920,99.98%,100.00%,335.5 req/sec,1,0.00%,50,0.02%,14,0.00%,65,0.02%,100.0%,80.1%,37.0%,2.4%,222,14.1,0.000,0.660,2.1s,0.2%
NetworkServer5,305033,305001,99.99%,100.00%,338.9 req/sec,0,0.00%,0,0.00%,32,0.01%,32,0.01%,100.0%,78.9%,37.8%,2.1%,227,12.6,0.000,0.666,0.0s,0.0%
NetworkServer6,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer7,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer8,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer9,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer10,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%
NetworkServer11,0,0,0.00%,0.00%,0.0 req/sec,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.0%,0.0%,0.0%,0.0%,0,0.0,0.000,0.000,0.0s,0.0%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.33333333333333326,0.0,0.00%,0.00%,0.000
5,9520,7847,5,0,134,0,0.8242647058823529,0.014600840336134454,3600,3083,0,0.8563888888888889,0.0,5920,4764,0,0.8047297297297298,0.0,0.3288888888888889,0.07132685185185186,0.0,50.00%,18.39%,0.190
10,19600,19171,5,0,134,0,0.9781122448979592,0.007091836734693878,7600,7530,0,0.9907894736842106,0.0,12000,11641,0,0.9700833333333333,0.0,0.3377777777777778,0.004512524366471721,0.0,45.95%,1.35%,0.308
15,29600,29160,5,0,134,0,0.9851351351351352,0.004695945945945946,11600,11530,0,0.9939655172413793,0.0,18000,17630,0,0.9794444444444445,0.0,0.3333333333333333,0.00289750957854408,0.0,44.05%,1.61%,0.314
20,39600,39159,5,0,134,0,0.9888636363636364,0.00351010101010101,15600,15530,0,0.9955128205128205,0.0,24000,23629,0,0.9845416666666666,0.0,0.3333333333333333,0.0021189458689458616,0.0,41.67%,1.76%,0.323
25,49600,49168,5,0,134,0,0.9912903225806452,0.0028024193548387096,19600,19530,0,0.9964285714285714,0.0,30000,29638,0,0.9879333333333333,0.0,0.3333333333333333,0.0016524943310657534,0.0,38.81%,1.81%,0.334
30,59600,59156,5,0,134,0,0.9925503355704698,0.002332214765100671,23600,23530,0,0.9970338983050847,0.0,36000,35626,0,0.9896111111111111,0.0,0.3333333333333333,0.0014500941619585864,0.0,46.67%,1.51%,0.304
35,69520,69199,5,0,134,0,0.9953826237054085,0.0019994246260069044,27600,27530,0,0.9974637681159421,0.0,41920,41669,0,0.9940124045801527,0.0,0.3288888888888889,0.001038794954374651,0.0,24.05%,1.13%,0.397
40,79520,79160,5,0,134,0,0.9954728370221329,0.0017479879275653924,31600,31530,0,0.9977848101265823,0.0,47920,47630,0,0.9939482470784641,0.0,0.3333333333333333,0.001046061884669485,0.0,41.67%,0.64%,0.329
45,89520,89189,5,0,134,0,0.9963025022341376,0.0015527256478999106,35600,35530,0,0.9980337078651685,0.0,53920,53659,0,0.9951594955489614,0.0,0.3333333333333333,0.0008536204744069907,0.0,30.24%,0.90%,0.374
50,99520,99197,5,0,134,0,0.996754421221865,0.0013967041800643086,39600,39530,0,0.9982323232323232,0.0,59920,59667,0,0.9957777036048064,0.0,0.3333333333333333,0.0008221099887766477,0.0,39.52%,0.25%,0.340
55,109520,109178,5,0,134,0,0.9968772826880935,0.0012691745799853907,43600,43530,0,0.9983944954128441,0.0,65920,65648,0,0.995873786407767,0.0,0.3333333333333333,0.0006957186544342296,0.0,30.00%,1.07%,0.374
60,119520,119177,5,0,134,0,0.997130187416332,0.0011629852744310576,47600,47530,0,0.9985294117647059,0.0,71920,71647,0,0.9962041156840934,0.0,0.3333333333333333,0.0006500933706816035,0.0,32.62%,0.93%,0.364
65,129520,129140,5,0,134,0,0.997066090179123,0.0010731933292155652,51600,51530,0,0.9986434108527131,0.0,77920,77610,0,0.9960215605749486,0.0,0.3333333333333333,0.0006190783807063089,0.0,36.90%,1.19%,0.345
70,139520,139172,5,0,134,0,0.9975057339449541,0.0009962729357798166,55600,55530,0,0.9987410071942446,0.0,83920,83642,0,0.9966873212583413,0.0,0.3333333333333333,0.000578537170263775,0.0,37.86%,0.69%,0.344
75,149520,149164,5,0,134,0,0.9976190476190476,0.00092964151952916,59600,59530,0,0.9988255033557047,0.0,89920,89634,0,0.9968193950177936,0.0,0.3333333333333333,0.00053691275167783,0.0,37.14%,0.85%,0.346
80,159520,159156,5,0,134,0,0.9977181544633902,0.0008713640922768305,63600,63530,0,0.9988993710691824,0.0,95920,95626,0,0.9969349457881568,0.0,0.3333333333333333,0.000491788958770103,0.0,34.05%,1.14%,0.357
85,169520,169181,5,0,134,0,0.9980002359603587,0.0008199622463426144,67600,67530,0,0.9989644970414201,0.0,101920,101651,0,0.9973606750392464,0.0,0.3333333333333333,0.0004503616042077675,0.0,30.48%,1.00%,0.372
