Network DDoS Simulation Results
Timestamp,2025-10-23_17-39-17
Simulation Duration,900s
Number of Servers,5
Processing Power,180 req/sec
Queue Size,300
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,425314
Total Dropped - Queue Full,1489
Total Dropped - Timeout,20471
Total Dropped - High Load,13064
Total Dropped - No Server,1339182
Overall Success Rate,23.63%
Overall Drop Rate,76.37%

Probability Analysis
Bandwidth Exhaustion,100.00%
Resource Depletion,81.22%
Successful Attack,77.35%
Total Processing Capacity,900 req/sec
Capacity Threshold,720 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,92431,85200,92.18%,100.00%,94.7 req/sec,299,0.32%,4276,4.63%,2656,2.87%,7231,7.82%,100.0%,80.9%,100.0%,49.1%,300,147.4,0.000,0.376,2.1s,0.2%
NetworkServer1,92331,85631,92.74%,100.00%,95.1 req/sec,301,0.33%,3823,4.14%,2576,2.79%,6700,7.26%,100.0%,75.8%,96.3%,43.6%,289,130.9,0.000,0.430,2.6s,0.3%
NetworkServer2,91685,84845,92.54%,100.00%,94.3 req/sec,299,0.33%,3873,4.22%,2668,2.91%,6840,7.46%,100.0%,78.2%,100.0%,47.4%,300,142.3,0.000,0.397,3.7s,0.4%
NetworkServer3,93092,85638,91.99%,100.00%,95.2 req/sec,300,0.32%,4446,4.78%,2708,2.91%,7454,8.01%,100.0%,80.1%,100.0%,47.9%,300,143.7,0.000,0.387,2.7s,0.3%
NetworkServer4,90799,84000,92.51%,100.00%,93.3 req/sec,290,0.32%,4053,4.46%,2456,2.70%,6799,7.49%,100.0%,80.4%,100.0%,46.8%,300,140.5,0.000,0.392,3.7s,0.4%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.000
5,9520,1884,10,99,86,6129,0.19789915966386554,0.6642857142857143,3600,485,2444,0.13472222222222222,0.6788888888888889,5920,1399,3784,0.23631756756756755,0.6391891891891892,1.0,0.8652777777777778,0.8415032679738562,100.00%,80.80%,0.115
10,19600,4536,17,149,136,14191,0.23142857142857143,0.7394387755102041,7600,1176,6363,0.15473684210526314,0.8372368421052632,12000,3360,7977,0.28,0.66475,1.0,0.8452631578947368,0.8179566563467492,60.00%,34.07%,0.556
15,29600,6998,27,283,236,20862,0.23641891891891892,0.7232432432432433,11600,1970,9458,0.16982758620689656,0.8153448275862069,18000,5028,11687,0.2793333333333333,0.6492777777777777,1.0,0.8301724137931035,0.8002028397565923,100.00%,72.93%,0.162
20,39600,9368,35,508,309,28634,0.23656565656565656,0.7445959595959596,15600,2489,12846,0.15955128205128205,0.8234615384615385,24000,6879,16296,0.286625,0.679,1.0,0.8404487179487179,0.812292609351433,80.00%,44.40%,0.414
25,49600,11614,43,602,367,36508,0.23415322580645162,0.7564516129032258,19600,3030,16287,0.15459183673469387,0.8309693877551021,30000,8584,20823,0.28613333333333335,0.6941,1.0,0.8454081632653061,0.8181272509003601,40.00%,28.40%,0.670
30,59600,13829,51,676,436,43793,0.2320302013422819,0.7542953020134228,23600,3659,19403,0.15504237288135594,0.8221610169491526,36000,10170,25066,0.2825,0.6962777777777778,1.0,0.8449576271186441,0.8175972083748754,80.00%,49.00%,0.386
35,69520,15941,58,847,507,51184,0.22930092059838894,0.7565592635212889,27600,4296,22882,0.15565217391304348,0.8290579710144927,41920,11645,29149,0.27779103053435117,0.695348282442748,1.0,0.8443478260869566,0.8168797953964194,100.00%,58.87%,0.247
40,79520,18219,65,1024,566,59170,0.22911217303822937,0.7649019114688129,31600,4901,26290,0.15509493670886076,0.8319620253164557,47920,13318,33904,0.27792153589315527,0.7075125208681136,1.0,0.8449050632911392,0.8175353685778108,62.00%,27.73%,0.586
45,89520,20699,75,1216,667,66009,0.23122207327971403,0.7592381590705988,35600,5723,29244,0.16075842696629214,0.8214606741573034,53920,14976,37981,0.2777448071216617,0.7043954005934718,1.0,0.8392415730337078,0.8108724388631857,80.00%,51.60%,0.370
50,99520,22796,81,1358,721,73664,0.2290594855305466,0.7618971061093247,39600,6127,32774,0.15472222222222223,0.8276262626262626,59920,16669,42248,0.27818758344459277,0.7050734312416556,1.0,0.8452777777777778,0.8179738562091503,100.00%,53.33%,0.280
55,109520,25409,88,1413,774,81525,0.23200328707085463,0.7651570489408327,43600,7393,35703,0.16956422018348624,0.8188761467889908,65920,18016,47235,0.2733009708737864,0.7165503640776699,1.0,0.8304357798165137,0.8005126821370749,42.00%,18.07%,0.724
60,119520,27540,97,1526,840,88723,0.23042168674698796,0.7629350736278447,47600,8188,38470,0.17201680672268907,0.8081932773109244,71920,19352,51779,0.26907675194660735,0.7199527252502781,1.0,0.827983193277311,0.7976272862086011,80.00%,47.60%,0.394
65,129520,29832,104,1632,889,96285,0.23032736256948733,0.7636658431130328,51600,9140,41780,0.17713178294573642,0.8096899224806201,77920,20692,56137,0.26555441478439423,0.720444045174538,1.0,0.8228682170542636,0.791609667122663,80.00%,46.53%,0.401
70,139520,32775,113,1679,970,103134,0.23491255733944955,0.7590022935779817,55600,11029,43610,0.19836330935251797,0.7843525179856116,83920,21746,61203,0.25912774070543376,0.7293017159199238,1.0,0.801636690647482,0.7666314007617435,60.00%,52.60%,0.444
75,149520,35274,121,1774,1036,110970,0.23591492776886036,0.7617776886035313,59600,11944,46884,0.2004026845637584,0.7866442953020134,89920,23330,65860,0.25945284697508897,0.7324288256227758,1.0,0.7995973154362416,0.7642321358073431,80.00%,17.67%,0.574
80,159520,37328,129,1865,1094,118394,0.23400200601805415,0.7615471414242728,63600,12921,49842,0.20316037735849057,0.7836792452830189,95920,24407,70417,0.25445162635529606,0.7341221851542953,1.0,0.7968396226415094,0.7609877913429522,80.00%,42.00%,0.428
85,169520,39549,136,1881,1148,126238,0.23329990561585653,0.7633494572911751,67600,13968,52709,0.20662721893491123,0.7797189349112426,101920,25581,75410,0.2509909733124019,0.7398940345368917,1.0,0.7933727810650888,0.7569091541942221,60.00%,33.87%,0.557
90,179520,42177,145,2011,1233,133193,0.23494318181818183,0.7608177361853833,71600,15199,55442,0.21227653631284915,0.7743296089385475,107920,26978,79762,0.24998146775389177,0.7390845070422535,1.0,0.7877234636871508,0.7502628984554716,80.00%,45.40%,0.408
95,189600,44309,153,2057,1288,140825,0.23369725738396624,0.7611972573839663,75600,15685,58765,0.20747354497354498,0.7773148148148148,114000,28624,84117,0.25108771929824564,0.7378684210526316,1.0,0.792526455026455,0.7559134765017118,100.00%,57.87%,0.253
100,199600,47045,162,2149,1393,147843,0.23569639278557114,0.759253507014028,79600,16808,61753,0.21115577889447237,0.7757914572864322,120000,30237,88239,0.251975,0.735325,1.0,0.7888442211055277,0.7515814365947384,100.00%,60.53%,0.237
105,209600,49195,168,2173,1439,156015,0.23470896946564884,0.7623807251908397,83600,17511,64782,0.20946172248803827,0.7749043062200957,126000,31684,93406,0.25146031746031744,0.7413174603174603,1.0,0.7905382775119617,0.7535744441317197,60.00%,36.67%,0.540
110,219600,51585,178,2272,1530,162798,0.23490437158469946,0.7594626593806921,87600,18133,68200,0.20699771689497717,0.7785388127853882,132000,33452,96870,0.25342424242424244,0.7338636363636364,1.0,0.7930022831050229,0.7564732742412034,100.00%,75.80%,0.145
115,229600,54175,186,2412,1603,170367,0.23595383275261325,0.7603135888501742,91600,18807,71711,0.2053165938864629,0.7828711790393013,138000,35368,101068,0.25628985507246377,0.7323768115942029,1.0,0.794683406113537,0.758451066015926,80.00%,51.80%,0.369
120,239600,56587,194,2489,1677,178270,0.2361727879799666,0.762228714524207,95600,19294,75242,0.20182008368200838,0.7870502092050209,144000,37293,105517,0.25897916666666665,0.7327569444444444,1.0,0.7981799163179917,0.7625646074329312,73.00%,20.67%,0.584
125,249600,58748,204,2585,1752,185044,0.23536858974358973,0.7595552884615384,99600,19929,78208,0.20009036144578313,0.7852208835341365,150000,38819,109421,0.2587933333333333,0.7294733333333333,1.0,0.7999096385542168,0.764599574769667,100.00%,77.80%,0.133
130,259600,61424,212,2716,1815,192597,0.2366101694915254,0.7601694915254237,103600,20809,81492,0.20085907335907335,0.7866023166023166,156000,40615,113821,0.2603525641025641,0.7296217948717949,1.0,0.7991409266409266,0.7636952078128548,80.00%,50.40%,0.378
135,269600,63602,220,2770,1888,200218,0.23591246290801188,0.7607418397626112,107600,21437,85020,0.19922862453531598,0.7901486988847584,162000,42165,117968,0.2602777777777778,0.7281975308641976,1.0,0.800771375464684,0.7656133828996282,80.00%,54.80%,0.351
140,279600,65717,227,2981,1965,207844,0.23503934191702433,0.7618633762517882,111600,21820,88494,0.19551971326164874,0.7929569892473118,168000,43897,122331,0.26129166666666664,0.7281607142857143,1.0,0.8044802867383513,0.769976807927472,100.00%,51.07%,0.294
145,289600,68318,235,3106,2038,215342,0.23590469613259668,0.7621581491712707,115600,22922,91280,0.1982871972318339,0.7896193771626298,174000,45396,127168,0.26089655172413795,0.7308505747126437,1.0,0.8017128027681661,0.7667209444331365,60.00%,33.40%,0.560
150,299600,70671,244,3242,2113,222615,0.2358845126835781,0.7617289719626168,119600,23764,94406,0.19869565217391305,0.7893478260869565,180000,46907,131451,0.26059444444444446,0.7302833333333333,1.0,0.801304347826087,0.7662404092071611,72.00%,42.87%,0.455
155,309600,73163,252,3313,2178,230222,0.23631459948320413,0.7621608527131783,123600,24639,97423,0.19934466019417477,0.7882119741100324,186000,48524,136112,0.26088172043010754,0.7317849462365591,1.0,0.8006553398058253,0.7654768703597944,76.00%,26.40%,0.538
160,319600,75320,260,3365,2243,237519,0.23566958698372967,0.7615362953692115,127600,25509,100320,0.19991379310344828,0.7862068965517242,192000,49811,140564,0.25943229166666665,0.7321041666666667,1.0,0.8000862068965517,0.7648073022312374,80.00%,54.20%,0.355
165,329600,77368,268,3451,2313,245020,0.23473300970873787,0.7616868932038835,131600,26163,103702,0.19880699088145898,0.7880091185410334,198000,51205,144769,0.2586111111111111,0.7311565656565656,1.0,0.8011930091185411,0.7661094224924011,100.00%,72.00%,0.168
