Network DDoS Simulation Results
Timestamp,2025-10-23_17-43-32
Simulation Duration,900s
Number of Servers,6
Processing Power,200 req/sec
Queue Size,350
Legitimate Clients,400
Malicious Clients,80
Legitimate Traffic Rate,2 req/sec
Malicious Traffic Rate,15 req/sec
Request Timeout,3s
Server Timeout,2s

Final Simulation Results
Total Generated Requests,1799520
Total Served Requests,624777
Total Dropped - Queue Full,1712
Total Dropped - Timeout,14799
Total Dropped - High Load,18221
Total Dropped - No Server,1140011
Overall Success Rate,34.72%
Overall Drop Rate,65.28%

Probability Analysis
Bandwidth Exhaustion,99.98%
Resource Depletion,70.36%
Successful Attack,64.58%
Total Processing Capacity,1200 req/sec
Capacity Threshold,960 req/sec

Per-Server Breakdown
Server ID,Total Requests Received,Total Requests Processed,Success Rate,Acceptance Rate,Processing Rate,Drops Queue Full,Drops Queue Full Rate,Drops Timeout,Drops Timeout Rate,Drops High Load,Drops High Load Rate,Total Drops,Total Drop Rate,Max CPU Utilization,Avg CPU Utilization,Max Queue Utilization,Avg Queue Utilization,Max Queue Length,Avg Queue Length,Min Health Score,Avg Health Score,Time Spent Offline,Offline Percentage
NetworkServer0,110236,104802,95.07%,100.00%,116.4 req/sec,287,0.26%,2200,2.00%,2947,2.67%,5434,4.93%,100.0%,72.8%,100.0%,39.7%,350,139.0,0.000,0.465,1.7s,0.2%
NetworkServer1,108326,102436,94.56%,100.00%,113.8 req/sec,280,0.26%,2475,2.28%,3135,2.89%,5890,5.44%,100.0%,78.6%,100.0%,44.0%,350,154.1,0.000,0.416,1.7s,0.2%
NetworkServer2,111257,105144,94.51%,100.00%,116.8 req/sec,290,0.26%,2702,2.43%,3121,2.81%,6113,5.49%,100.0%,79.6%,100.0%,46.2%,350,161.8,0.000,0.399,2.0s,0.2%
NetworkServer3,109147,103092,94.45%,100.00%,114.5 req/sec,284,0.26%,2637,2.42%,3134,2.87%,6055,5.55%,100.0%,75.4%,100.0%,40.0%,350,140.0,0.000,0.453,3.4s,0.4%
NetworkServer4,110340,104810,94.99%,100.00%,116.5 req/sec,282,0.26%,2392,2.17%,2856,2.59%,5530,5.01%,100.0%,75.0%,99.4%,40.5%,348,141.7,0.000,0.452,2.6s,0.3%
NetworkServer5,110203,104493,94.82%,100.00%,116.1 req/sec,289,0.26%,2393,2.17%,3028,2.75%,5710,5.18%,100.0%,73.4%,98.6%,41.8%,345,146.2,0.000,0.450,2.8s,0.3%

Total Simulation Time-Series Data
Timestamp,Total Generated,Total Served,Drops Queue Full,Drops Timeout,Drops High Load,Drops No Server,Success Rate,Drop Rate,Legit Sent,Legit Success,Legit No Response,Legit Success Rate,Legit Drop Rate,Botnet Sent,Botnet Success,Botnet No Response,Botnet Success Rate,Botnet Drop Rate,Bandwidth Exhaustion Prob,Resource Depletion Prob,Successful Attack Prob,Avg CPU Utilization,Avg Queue Utilization,Avg Health Score
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.00%,0.00%,0.000
5,9520,3455,11,128,146,4412,0.3629201680672269,0.4933823529411765,3600,1391,1769,0.3863888888888889,0.4913888888888889,5920,2064,2771,0.34864864864864864,0.46807432432432433,0.9866666666666667,0.6129975,0.5454248366013071,100.00%,58.86%,0.247
10,19600,7263,19,168,222,11547,0.3705612244897959,0.61,7600,3051,4439,0.4014473684210526,0.584078947368421,12000,4212,7276,0.351,0.6063333333333333,1.0,0.5985526315789473,0.5277089783281734,50.00%,15.00%,0.710
15,29600,10627,27,295,303,17637,0.3590202702702703,0.6169594594594595,11600,4153,7090,0.35801724137931035,0.6112068965517241,18000,6474,10842,0.3596666666666667,0.6023333333333334,1.0,0.6419827586206897,0.5788032454361055,79.55%,28.86%,0.509
20,39600,13855,37,333,406,23522,0.3498737373737374,0.6135858585858586,15600,5028,9873,0.3223076923076923,0.6328846153846154,24000,8827,13982,0.3677916666666667,0.5825833333333333,1.0,0.6776923076923077,0.6208144796380091,100.00%,62.62%,0.224
25,49600,17331,47,335,514,29881,0.34941532258064517,0.6205040322580645,19600,6164,12792,0.31448979591836734,0.6526530612244898,30000,11167,17424,0.37223333333333336,0.5808,1.0,0.6855102040816327,0.6300120048019208,100.00%,64.76%,0.211
30,59600,20823,54,450,569,36955,0.34937919463087247,0.6380536912751678,23600,7229,15938,0.3063135593220339,0.6753389830508475,36000,13594,21467,0.3776111111111111,0.5963055555555555,1.0,0.6936864406779661,0.63963110667996,100.00%,29.38%,0.424
35,69520,24416,64,465,666,43491,0.3512082853855006,0.6427790563866513,27600,8684,18360,0.3146376811594203,0.6652173913043479,41920,15732,25596,0.37528625954198475,0.6105916030534351,0.9866666666666667,0.6785779241692286,0.6298380221653878,51.52%,16.67%,0.694
40,79520,28029,74,503,774,49146,0.35247736418511066,0.6350226358148894,31600,10106,20563,0.3198101265822785,0.6507278481012658,47920,17923,29086,0.3740191986644407,0.6069699499165275,1.0,0.6801898734177215,0.623752792256143,66.67%,43.14%,0.474
45,89520,31613,85,503,885,55048,0.353138963360143,0.6313784629133155,35600,11559,23091,0.32469101123595506,0.648623595505618,53920,20054,32460,0.3719213649851632,0.6020029673590505,1.0,0.6753089887640449,0.6180105750165235,83.33%,60.76%,0.302
50,99520,35273,93,625,958,62035,0.354431270096463,0.6401828778135048,39600,12672,26230,0.32,0.6623737373737374,59920,22601,36430,0.37718624833110814,0.607977303070761,1.0,0.6799999999999999,0.6235294117647059,71.21%,21.05%,0.589
55,109520,38892,104,690,1058,67907,0.35511322132943757,0.6369521548575603,43600,13898,28447,0.3187614678899083,0.652454128440367,65920,24994,40150,0.37915655339805826,0.6090716019417476,1.0,0.6812385321100918,0.6249865083648137,68.33%,37.19%,0.504
